NOMBRE_DEL_SOLISTA_DE_LA_BANDA;GENERO;ESTILO;FECHA_INSCRIPCION;LINK_FACEBOOK;LINK_TWITTER;OTRAS_REDES;DISCOS;LINK_VIDEOCLIP;VIDEO_EN_VIVO;BARRIO;CANTIDAD_DE_INTEGRANTES
VER K BITCH;INSTRUMENTAL ;;20/01/18;;;HTTPS://WWW.YOUTUBE.COM/USER/FERSTAR17INT;DIOS AGUJERO NEGRO (2008) , APICHONADOS (2007) , MERIDIANO (2006) , CAUSALIDADES (2005) , PLANETA ESMERALDA (2001);;HTTPS://YOUTU.BE/-RPWP_ZRTJS , HTTPS://YOUTU.BE/G2MLUQCNWDS;VERSALLES;1
TROTAMUNDOS;INDIE ;;30/11/17;;;HTTPS://WWW.INSTAGRAM.COM/TROTAMUNDOSMUSICA/;HECHO BOLITA (2014);HTTPS://WWW.YOUTUBE.COM/WATCH?V=FHB5ZENXG8C&LIST=PLD9DAAESBRD6ZH4M8IZX46ENPSTZUCXZS;;VILLA LURO;4
EFECTO ALFONS;ROCK ;POWER TRIO;27/11/17;;;INSTAGRAM, WWW.EFECTOALFONS.COM;EFECTO ALFONS (2000);HTTPS://YOUTU.BE/FVYM6SU2M-C , HTTPS://YOUTU.BE/PRQQZOGFHCQ;HTTPS://YOUTU.BE/STYCFFC5VIY;BARRACAS;3
MARCELO GIULLITTI;SOLISTA ;;26/11/17;;HTTPS://TWITTER.COM/CHELOGIULLITTI;WWW.INSTAGRAM.COM/MARCELOGIULLITTI;;;HTTPS://YOUTU.BE/ZJVJFSCDHEQ;AGRONOMIA;1
AFTERLIFE;ROCK ;ROCK ALTERNATIVO;14/11/17;HTTPS://FACEBOOK.COM/AFTERLIFEARG;HTTPS://TWITTER.COM/AFTERLIFEARG;HTTPS://WWW.INSTAGRAM.COM/AFTERLIFEARG/ , HTTPS://WWW.YOUTUBE.COM/AFTERLIFEARG , HTTP://WWW.AFTERLIFE.COM.AR/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FJ7SJJND1XC;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GP7PJM7O8O0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MRKMOD5LDTK;BALVANERA;5
VIRGINIA FERREYRA;ROCK ;ROCK POP;14/11/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCEKN2GVWOUIWEUV3KESOXQW;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WXN2TKOCZBA;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WAYUFMJDKN0 , HTTPS://WWW.YOUTUBE.COM/WATCH?V=28NSAHMOGD8;VILLA DEL PARQUE;1
LMV;POP;;10/11/17;HTTPS://FACEBOOK.COM/LMV;HTTPS://TWITTER.COM/SUENALMV;WWW.INSTAGRAM.COM/SUENALMV , WWW.SUENALMV.COM;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=EEEU0GP7ZPE;LA LUCILA;5
EFECTO ALFONS;ROCK ;POWER TRIO;06/11/17;HTTPS://FACEBOOK.COM/EFECTOALFONSOK;;INSTAGRAM , WWW.EFECTOALFONS.COM;EFECTO ALFONS (1995);HTTPS://WWW.YOUTUBE.COM/WATCH?V=FVYM6SU2M-C;HTTPS://WWW.YOUTUBE.COM/WATCH?V=UEHH1D9_FYI;BARRACAS;3
TANTAS PREGUNTAS;PUNK ;PUNK ROCK;27/10/17;;;HTTPS://ESLA.FACEBOOK.COM/TANTAS.PUNKROCK/;DESPUES DE TODO (2006) , LIBRE ALBEDRIO (2006);HTTPS://YOUTU.BE/TYX3FQMAOUW , HTTPS://YOUTU.BE/LPXFC3CEUFI;HTTPS://YOUTU.BE/1LOMOGGS0VU , HTTPS://YOUTU.BE/EVJCETX-OAC;MORENO;3
TAL VEZ DE PASO;POP ;POP ROCK;26/10/17;;HTTPS://TWITTER.COM/TALVEZDEPASO10;HTTP://INSTAGRAM.COM/TALVEZDEPASO;;HTTPS://YOUTU.BE/HL6BELDXRVK , HTTPS://YOUTU.BE/6JKCSE4YBQM;HTTPS://YOUTU.BE/JRNJTSZAL2S;PUERTO MADERO;4
LA SURTIDA FOLCK;FOLKLORE ;;25/10/17;;;HTTPS://WWW.YOUTUBE.COM/CHANNEL/UCQDJNKCVEF8EO2JPKT9OS_Q;;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=GYDL3BZZF5O;BERAZATEGUI;7
JAYDEE M;HIP HOP / RAP ;;24/10/17;HTTPS://FACEBOOK.COM/MCJAYDEEM;HTTPS://TWITTER.COM/MCJAYDEEM;HTTPS://WWW.YOUTUBE.COM/C/MCJAYDEEM ,HTTPS://WWW.INSTAGRAM.COM/MCJAYDEEM , HTTP://MCJAYDEEM.WIX.COM/JAYDEEM;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=TPSSB0XYMHM , HTTPS://WWW.YOUTUBE.COM/WATCH?V=O3DLYQYTHYY;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WWRK69SUOIS&FEATURE=YOUTU.BE , HTTPS://WWW.YOUTUBE.COM/WATCH?V=RWYZO1JSDIU;BARRACAS;1
BUGIO;POP;;17/10/17;HTTPS://FACEBOOK.COM/PABLIN.BUGIO;;HTTPS://WWW.YOUTUBE.COM/USER/NOSPEBALANIS?FEATURE=AUTONAV,HTTPS://WWW.FACEBOOK.COM/BUGIOMUSIC;EL TOUR DEL AMOR (2010);HTTPS://WWW.YOUTUBE.COM/WATCH?V=53BV0CXYHOS , HTTPS://WWW.YOUTUBE.COM/WATCH?V=DASFB4QQU4S;;ALMAGRO;5
INDIOS DE LA NOCHE;TROPICAL / LATINO ;CUMBIA;14/10/17;;;HTTPS://WWW.INSTAGRAM.COM/INDIOSDELANOCHE/;;HTTPS://WWW.YOUTUBE.COM/WATCH?V=9A7J9A1NQ1Q , HTTPS://WWW.YOUTUBE.COM/WATCH?V=MJ6_OEZFWAG;HTTPS://WWW.YOUTUBE.COM/WATCH?V=WUKCXRDYYFW , HTTPS://WWW.YOUTUBE.COM/WATCH?V=QPPOF_G6E5M;BOULOGNE;7
SILVANA DI MATTEO;POP ;POP CANCION;11/10/17;;;WWW.INSTAGRAM.COM/DIMATTEOSIL ,WWW.YOUTUBE.COM/CONLASALASDELALMA;SI CON UNA CANCION (1991);;HTTPS://WWW.YOUTUBE.COM/WATCH?V=FVF-ZM1_ADS;LA PLATA;4
